           a           b  c  d   e      J  g  h   position            i                     strength         f   z  label  m   n      o   p  q      r  s  t     u   v   K  y
SymmetricTop Excited   2  7  1 Ground   1  1  1  1500.03702044        -               0.984156422481164   0.0000 : rR0(1) : Excited v=1  2  1     A2u - Ground v=0  1  0 A2g
SymmetricTop Excited   1  7  1 Ground   1  1  1  1499.99395244        -               0.984156422481163   0.0000 : rQ0(1) : Excited v=1  1  1     A2u - Ground v=0  1  0 A2g
SymmetricTop Excited   2 10  1 Ground   2  4  1  1500.00355           -               0.797525336998401   0.0000 : pQ1(2) : Excited v=1  2  0    E1u - Ground v=0  2  1 E1g
SymmetricTop Excited   1  6  1 Ground   0  0  1  1500.01615244        -               0.666666666666667   0.0000 : rR0(0) : Excited v=1  1  1     A1u - Ground v=0  0  0 A1g
SymmetricTop Excited   1 10  1 Ground   1  4  1  1500.004882          -               0.494046102718374   0.0000 : pQ1(1) : Excited v=1  1  0    E1u - Ground v=0  1  1 E1g
SymmetricTop Excited   0 10  1 Ground   1  4  1  1499.983348          -               0.329364068478916   0.0000 : pP1(1) : Excited v=1  0  0    E1u - Ground v=0  1  1 E1g
SymmetricTop Excited   4  7  1 Ground   3  1  1  1500.07675844        -               1.51437536256021    0.0000 : rR0(3) : Excited v=1  4  1     A2u - Ground v=0  3  0 A2g
SymmetricTop Excited   3  6  1 Ground   2  0  1  1500.05722244        -               1.27095779633481    0.0000 : rR0(2) : Excited v=1  3  1     A1u - Ground v=0  2  0 A1g
SymmetricTop Excited   3 10  1 Ground   2  4  1  1500.068152          -               0.31901013479936    0.0000 : pR1(2) : Excited v=1  3  0    E1u - Ground v=0  2  1 E1g
SymmetricTop Excited   2 10  1 Ground   1  4  1  1500.04795           -               0.164682034239458   0.0000 : pR1(1) : Excited v=1  2  0    E1u - Ground v=0  1  1 E1g
SymmetricTop Excited   6  7  1 Ground   5  1  1  1500.11383244        -               1.83627934804311    0.0000 : rR0(5) : Excited v=1  6  1     A2u - Ground v=0  5  0 A2g
SymmetricTop Excited   5  6  1 Ground   4  0  1  1500.09562844        -               1.7047916336852     0.0000 : rR0(4) : Excited v=1  5  1     A1u - Ground v=0  4  0 A1g
SymmetricTop Excited   5 10  1 Ground   4  4  1  1500.106558          -               0.570536446801599   0.0000 : pR1(4) : Excited v=1  5  0    E1u - Ground v=0  4  1 E1g
SymmetricTop Excited   4 10  1 Ground   3  4  1  1500.087688          -               0.456129470174698   0.0000 : pR1(3) : Excited v=1  4  0    E1u - Ground v=0  3  1 E1g
SymmetricTop Excited   8  7  1 Ground   7  1  1  1500.14824244        -               1.91830174553543    0.0000 : rR0(7) : Excited v=1  8  1     A2u - Ground v=0  7  0 A2g
SymmetricTop Excited   7  6  1 Ground   6  0  1  1500.13137044        -               1.9068453966546     0.0000 : rR0(6) : Excited v=1  7  1     A1u - Ground v=0  6  0 A1g
SymmetricTop Excited   9  6  1 Ground   8  0  1  1500.16444844        -               1.8758040116721     0.0000 : rR0(8) : Excited v=1  9  1     A1u - Ground v=0  8  0 A1g
SymmetricTop Excited  10  7  1 Ground   9  1  1  1500.17998844        -               1.7871348516004     0.0000 : rR0(9) : Excited v=1 10  1     A2u - Ground v=0  9  0 A2g
SymmetricTop Excited  11  6  1 Ground  10  0  1  1500.19486244        -               1.66183229633215    0.0000 : rR0(10) : Excited v=1 11  1     A1u - Ground v=0 10  0 A1g
SymmetricTop Excited   9 10  1 Ground   8  4  1  1500.175378          -               0.753322248586214   0.0000 : pR1(8) : Excited v=1  9  0    E1u - Ground v=0  8  1 E1g
SymmetricTop Excited   8 10  1 Ground   7  4  1  1500.159172          -               0.748989620506346   0.0000 : pR1(7) : Excited v=1  8  0    E1u - Ground v=0  7  1 E1g
SymmetricTop Excited  10 10  1 Ground   9  4  1  1500.190918          -               0.734024397551343   0.0000 : pR1(9) : Excited v=1 10  0    E1u - Ground v=0  9  1 E1g
SymmetricTop Excited   7 10  1 Ground   6  4  1  1500.1423            -               0.717926679527696   0.0000 : pR1(6) : Excited v=1  7  0    E1u - Ground v=0  6  1 E1g
SymmetricTop Excited   6 10  1 Ground   5  4  1  1500.124762          -               0.658436747509661   0.0000 : pR1(5) : Excited v=1  6  0    E1u - Ground v=0  5  1 E1g
SymmetricTop Excited  12  7  1 Ground  11  1  1  1500.20907044        -               1.51027050834129    0.0000 : rR0(11) : Excited v=1 12  1     A2u - Ground v=0 11  0 A2g
SymmetricTop Excited  13  6  1 Ground  12  0  1  1500.22261244        -               1.34279277827903    0.0000 : rR0(12) : Excited v=1 13  1     A1u - Ground v=0 12  0 A1g
