          a            b  c  d   e      J  g  h   position            i                     strength         f      z       label       m       n      o   p  q      r  s  t     u   v   K  y
SymmetricTop Excited  17 11  4 Ground  18  5  2  1499.51531244        -               0.232948333139977   0.0000    :     pP2(18)    :     Excited v=1 17  1     E2u - Ground v=0 18  2 E2g
SymmetricTop Excited  16 10  2 Ground  17  4  2  1499.51604576        -               0.205190122754565   0.0000    :     rP1(17)    :     Excited v=1 16  2     E1u - Ground v=0 17  1 E1g
SymmetricTop Excited  15 11  1 Ground  16  5  1  1499.519109          -               0.167015965698921   0.0000    :     rP4(16)    :     Excited v=1 15  5     E2u - Ground v=0 16  4 E2g
SymmetricTop Excited  16  7  2 Ground  17  1  1  1499.52664244        -               0.463245028141726   0.0000    :     rP0(17)    :     Excited v=1 16  1     A2u - Ground v=0 17  0 A2g
SymmetricTop Excited  17  9  2 Ground  18  3  1  1499.52690776        -               0.262658834604746   0.0000    :     pP3B2g(18)    :     Excited v=1 17  2     B2u - Ground v=0 18  3 B2g
SymmetricTop Excited  17  8  2 Ground  18  2  1  1499.52690776        -               0.262658834604746   0.0000    :     pP3B1g(18)    :     Excited v=1 17  2     B1u - Ground v=0 18  3 B1g
SymmetricTop Excited  15  9  1 Ground  16  3  1  1499.52870704        -               0.191944317480063   0.0000    :     rP3B2g(16)    :     Excited v=1 15  4     B2u - Ground v=0 16  3 B2g
SymmetricTop Excited  15  8  1 Ground  16  2  1  1499.52870704        -               0.191944317480063   0.0000    :     rP3B1g(16)    :     Excited v=1 15  4     B1u - Ground v=0 16  3 B1g
SymmetricTop Excited  17 11  2 Ground  18  5  1  1499.53883596        -               0.297110564838929   0.0000    :     pP4(18)    :     Excited v=1 17  3     E2u - Ground v=0 18  4 E2g
SymmetricTop Excited  16 10  3 Ground  17  4  2  1499.537572          -               0.26161740651207    0.0000    :     pP1(17)    :     Excited v=1 16  0    E1u - Ground v=0 17  1 E1g
SymmetricTop Excited  15 11  3 Ground  16  5  2  1499.53863796        -               0.219510519187157   0.0000    :     rP2(16)    :     Excited v=1 15  3     E2u - Ground v=0 16  2 E2g
SymmetricTop Excited  17 10  1 Ground  18  4  1  1499.55109704        -               0.337308059294678   0.0000    :     pP5(18)    :     Excited v=1 17  4     E1u - Ground v=0 18  5 E1g
SymmetricTop Excited  16 11  4 Ground  17  5  2  1499.54883444        -               0.295917972584668   0.0000    :     pP2(17)    :     Excited v=1 16  1     E2u - Ground v=0 17  2 E2g
SymmetricTop Excited  15 10  2 Ground  16  4  2  1499.54890176        -               0.250266786101135   0.0000    :     rP1(16)    :     Excited v=1 15  2     E1u - Ground v=0 16  1 E1g
SymmetricTop Excited  14 11  1 Ground  15  5  1  1499.551299          -               0.19168113442137    0.0000    :     rP4(15)    :     Excited v=1 14  5     E2u - Ground v=0 15  4 E2g
SymmetricTop Excited  15  6  2 Ground  16  0  1  1499.55949844        -               0.56975981684979    0.0000    :     rP0(16)    :     Excited v=1 15  1     A1u - Ground v=0 16  0 A1g
SymmetricTop Excited  16  9  2 Ground  17  3  1  1499.56042976        -               0.335425090347342   0.0000    :     pP3B2g(17)    :     Excited v=1 16  2     B2u - Ground v=0 17  3 B2g
SymmetricTop Excited  16  8  2 Ground  17  2  1  1499.56042976        -               0.335425090347342   0.0000    :     pP3B1g(17)    :     Excited v=1 16  2     B1u - Ground v=0 17  3 B1g
SymmetricTop Excited  14  9  1 Ground  15  3  1  1499.56089704        -               0.223680034068689   0.0000    :     rP3B2g(15)    :     Excited v=1 14  4     B2u - Ground v=0 15  3 B2g
SymmetricTop Excited  14  8  1 Ground  15  2  1  1499.56089704        -               0.223680034068689   0.0000    :     rP3B1g(15)    :     Excited v=1 14  4     B1u - Ground v=0 15  3 B1g
SymmetricTop Excited  16 11  2 Ground  17  5  1  1499.57235796        -               0.381236642423631   0.0000    :     pP4(17)    :     Excited v=1 16  3     E2u - Ground v=0 17  4 E2g
SymmetricTop Excited  15 10  3 Ground  16  4  2  1499.570428          -               0.324155075330994   0.0000    :     pP1(16)    :     Excited v=1 15  0    E1u - Ground v=0 16  1 E1g
SymmetricTop Excited  14 11  3 Ground  15  5  2  1499.57082796        -               0.259126109929336   0.0000    :     rP2(15)    :     Excited v=1 14  3     E2u - Ground v=0 15  2 E2g
SymmetricTop Excited  16 10  1 Ground  17  4  1  1499.58461904        -               0.434697760547517   0.0000    :     pP5(17)    :     Excited v=1 16  4     E1u - Ground v=0 17  5 E1g
SymmetricTop Excited  15 11  4 Ground  16  5  2  1499.58169044        -               0.36906713665533    0.0000    :     pP2(16)    :     Excited v=1 15  1     E2u - Ground v=0 16  2 E2g
SymmetricTop Excited  14 10  2 Ground  15  4  2  1499.58109176        -               0.298715623490194   0.0000    :     rP1(15)    :     Excited v=1 14  2     E1u - Ground v=0 15  1 E1g
SymmetricTop Excited  13 11  1 Ground  14  5  1  1499.582823          -               0.213516014378695   0.0000    :     rP4(14)    :     Excited v=1 13  5     E2u - Ground v=0 14  4 E2g
SymmetricTop Excited  14  7  2 Ground  15  1  1  1499.59168844        -               0.686597942679766   0.0000    :     rP0(15)    :     Excited v=1 14  1     A2u - Ground v=0 15  0 A2g
SymmetricTop Excited  15  9  2 Ground  16  3  1  1499.59328576        -               0.420801003706293   0.0000    :     pP3B2g(16)    :     Excited v=1 15  2     B2u - Ground v=0 16  3 B2g
SymmetricTop Excited  15  8  2 Ground  16  2  1  1499.59328576        -               0.420801003706293   0.0000    :     pP3B1g(16)    :     Excited v=1 15  2     B1u - Ground v=0 16  3 B1g
SymmetricTop Excited  13  9  1 Ground  14  3  1  1499.59242104        -               0.253774063011188   0.0000    :     rP3B2g(14)    :     Excited v=1 13  4     B2u - Ground v=0 14  3 B2g
